UUID,NAME,DATA_TYPE,LOINC,NEW_LOINC
1228AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,REACTIVE,N/A,0000-035,true
1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,THREE PLUS,Boolean,0000-036,true
1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ONE PLUS,Boolean,0000-037,true
1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TWO PLUS,Boolean,0000-038,true
159985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Scanty,N/A,0000-039,true
160008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Contaminated specimen,N/A,0000-040,true
164369AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Results not available,N/A,0000-041,true
1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Not done,N/A,0000-042,true
1300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,EQUIVOCAL,N/A,0000-043,true
1311AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,<1:2,N/A,0000-044,true
1312AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:2,N/A,0000-045,true
1313AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:4,N/A,0000-046,true
1314AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:8,N/A,0000-047,true
1315AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:16,N/A,0000-048,true
1316AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:32,N/A,0000-049,true
1317AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,>1:32,N/A,0000-050,true
163621AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:64,N/A,0000-051,true
163622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:128,N/A,0000-052,true
163623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1:256,N/A,0000-053,true
163624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,>1:572,N/A,0000-054,true
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Unknown,N/A,0000-055,true
128453AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Procedure Refused,N/A,0000-056,true
1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,FOUR PLUS,Boolean,0000-057,true
160352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Test not performed due to lack of availability of test materials,Boolean,0000-058,true
160414AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Procedure not performed,N/A,0000-059,true
161246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Positive for Plasmodium falciparum,N/A,0000-060,true
161247AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Positive for Plasmodium vivax,N/A,0000-061,true
161248AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Positive for both Plasmodium falciparum and Plasmodium vivax,N/A,0000-062,true
1874AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRACE,N/A,0000-063,true
159956AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,resistant to anti-tuberculosis drugs,Coded,0000-064,true
159958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,susceptible to anti-tuberculosis drugs,Coded,0000-065,true
159957AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Intermediate resistance to anti-tubercular drugs,Coded,0000-066,true
160047AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concentration,Numeric,0000-067,true
159972AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,contaminated drug sensitivity testing,N/A,0000-068,true
159952AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,colonies,Numeric,0000-069,true
159971AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,waiting for test results,N/A,0000-070,true
163433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Blood compatible,N/A,0000-071,true
163434AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Incompatible blood,N/A,0000-072,true
161565AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bancroftian filariasis,N/A,0000-073,true
114412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Mansonella Ozzardi Infection,N/A,0000-074,true
162102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine appears clear,N/A,0000-075,true
162103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Cloudy urine,N/A,0000-076,true
162104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine appears turbid,N/A,0000-077,true
162099AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Colourless,N/A,0000-078,true
127778AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Red color,N/A,0000-079,true
162097AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Light yellow colour,N/A,0000-080,true
162105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yellow-green colour,N/A,0000-081,true
162098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dark yellow colour,N/A,0000-082,true
162100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Brown color,N/A,0000-083,true
162065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Black color,N/A,0000-084,true
160910AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yellow color,N/A,0000-085,true
1077AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bloody,N/A,0000-086,true
160909AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Green color,N/A,0000-087,true
163656AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Orange color,N/A,0000-088,true
163655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Yellowish white,N/A,0000-089,true
1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Moderate,N/A,0000-090,true
1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,None,N/A,0000-091,true
1408AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,High,Boolean,0000-092,true
159416AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rarely,N/A,0000-093,true
1160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,FEW,N/A,0000-094,true
722AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AMORPHOUS PHOSPHATE CRYSTALS,N/A,0000-095,true
163642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ammonium urate crystals in urine,N/A,5766-1,false
163643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amorphous urate crystals in urine,N/A,12454-5,false
72695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CALCIUM PHOSPHATE,N/A,0000-096,true
79241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MAGNESIUM PHOSPHATE,N/A,0000-097,true
123505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Uric Acid Crystalluria,N/A,0000-098,true
123501AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Urinary Cast, Hyaline",N/A,0000-099,true
72703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CALCIUM SULFATE,N/A,0000-100,true
725AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CALCIUM OXALATE CRYSTALS,N/A,0000-101,true
74167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CYSTINE,N/A,0000-102,true
163644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Triple phosphate crystals,N/A,46137-6,false
163690AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Granular casts presence in urine sediment by light microscopy test,Coded,25160-3,false
163691AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fatty casts presence in urine sediment by light microscopy test,Coded,25159-5,false
163694AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Waxy casts presence in urine sediment by light microscopy test,Coded,33862-4,false
163693AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,WBC casts presence in urine sediment by light microscopy test,Coded,33825-1,false
163692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Epithelial casts presence in urine sediment by light microscopy test,Coded,25157-9,false
163417AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5+,N/A,0000-200,true
163418AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,>5+,N/A,0000-201,true
162657AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Liquid,N/A,0000-202,true
163638AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,solid,N/A,0000-203,true
163636AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pasty,N/A,0000-204,true
165852AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,COVID-19 Antigen Rapid Test,Coded,94558-4,true
1301AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Detected,N/A,0000-205,true
1302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Not detected,N/A,0000-206,true
1326AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HIV RAPID TEST 2, QUALITATIVE",Coded,7919-4,false
885AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Papanicolaou smear,Coded,47527-7,true
1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Normal,N/A,0000-207,true
1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Abnormal,N/A,0000-208,true
1305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HIV VIRAL LOAD, QUALITATIVE",Coded,48510-2,true
844AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HIV DNA POLYMERASE CHAIN REACTION,Coded,49718-0,true
1303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,INHIBITORY,N/A,0000-209,true
